Ticket,Símbolo  ,Tipo,Hora de abertura,Preço de abertura,Tamanho,Hora de fechamento,Preço de fechamento,Tempo na operação,Lucro/Prejuízo (Global),Saldo (Global),Comissão/Swap,Lucro/Prejuízo ($),Saldo ($),MAE (Global),MFE (Global),Magic number (Global),Strategy name (Global),Símbolo   (Global),Comentário  ,Lucro/Prejuízo (Pips),Saldo (Pips),Lucro/Prejuízo (%),Saldo (%),Tipo de amostra  ,Comissão/Swap (Global),Rebaixamento   (Global),% Rebaixamento (Global),Tamanho (Global)
2,XAUUSD+,Buy,02.01.2020 15:19:40,1524.46,0.1,02.01.2020 15:55:40,1528.22,36m 0s,37.1,37.1,-0.5,37.1,37.1,0,0,,Break G 1.5.158,XAUUSD+,tp 1528.22,37600,37600,0.37,0.37,IS,-0.5,-0.0,-0.0,0.1
4,XAUUSD+,Buy,02.01.2020 16:31:40,1528.01,0.1,02.01.2020 16:59:20,1526.12,27m 40s,-19.4,17.7,-0.5,-19.4,17.7,0,0,,Break G 1.5.158,XAUUSD+,sl 1526.12,-18900,18700,-0.19,0.18,IS,-0.5,-19.399999999999636,-0.19328292036544056,0.1
6,XAUUSD+,Buy,02.01.2020 17:13:40,1528.01,0.1,02.01.2020 18:29:40,1526.93,1h 16m,-11.3,6.4,-0.5,-11.3,6.4,0,0,,Break G 1.5.158,XAUUSD+,sl 1526.93,-10800,7900,-0.11,0.06,IS,-0.5,-30.69999999999891,-0.3058652399597384,0.1
8,XAUUSD+,Buy,03.01.2020 02:14:20,1529.78,0.1,03.01.2020 03:53:40,1534.35,1h 39m,45.2,51.6,-0.5,45.2,51.6,0,0,,Break G 1.5.158,XAUUSD+,tp 1534.35,45700,53600,0.45,0.52,IS,-0.5,-0.0,-0.0,0.1
10,XAUUSD+,Buy,03.01.2020 05:17:40,1539.85,0.1,03.01.2020 06:01:40,1537.43,44m 0s,-24.7,26.9,-0.5,-24.7,26.9,0,0,,Break G 1.5.158,XAUUSD+,sl 1537.43,-24200,29400,-0.25,0.27,IS,-0.5,-24.700000000000728,-0.24573202276255246,0.1
12,XAUUSD+,Buy,03.01.2020 07:11:40,1539.9,0.1,03.01.2020 11:06:40,1545.47,3h 55m,55.2,82.1,-0.5,55.2,82.1,0,0,,Break G 1.5.158,XAUUSD+,tp 1545.47,55700,85100,0.55,0.82,IS,-0.5,-0.0,-0.0,0.1
14,XAUUSD+,Buy,03.01.2020 17:00:40,1549.43,0.1,03.01.2020 21:43:40,1546.43,4h 43m,-30.5,51.6,-0.5,-30.5,51.6,0,0,,Break G 1.5.158,XAUUSD+,sl 1546.43,-30000,55100,-0.3,0.52,IS,-0.5,-30.5,-0.30251634084168966,0.1
16,XAUUSD+,Buy,03.01.2020 23:24:40,1549.75,0.1,06.01.2020 01:01:00,1556.44,2d 1h 36m,57.19,108.79,-9.71,57.19,108.79,0,0,,Break G 1.5.158,XAUUSD+,tp 1556.44,66900,122000,0.57,1.09,IS,-9.71,-0.0,-0.0,0.1
18,XAUUSD+,Buy,08.01.2020 02:00:20,1594.98,0.1,08.01.2020 02:18:40,1605.56,18m 20s,105.3,214.09,-0.5,105.3,214.09,0,0,,Break G 1.5.158,XAUUSD+,tp 1605.56,105800,227800,1.04,2.13,IS,-0.5,-0.0,-0.0,0.1
20,XAUUSD+,Buy,30.01.2020 19:38:40,1585.52,0.1,30.01.2020 21:42:40,1582.34,2h 4m,-32.3,181.79,-0.5,-32.3,181.79,0,0,,Break G 1.5.158,XAUUSD+,sl 1582.34,-31800,196000,-0.32,1.81,IS,-0.5,-32.29999999999927,-0.31622983545278405,0.1
22,XAUUSD+,Buy,31.01.2020 17:46:40,1585.52,0.1,31.01.2020 18:46:40,1583.97,1h 0m,-16,165.79,-0.5,-16,165.79,0,0,,Break G 1.5.158,XAUUSD+,sl 1583.97,-15500,180500,-0.16,1.66,IS,-0.5,-48.29999999999927,-0.4728761935718137,0.1
24,XAUUSD+,Buy,31.01.2020 22:10:40,1588.39,0.1,31.01.2020 22:44:40,1585.21,34m 0s,-32.3,133.49,-0.5,-32.3,133.49,0,0,,Break G 1.5.158,XAUUSD+,sl 1585.21,-31800,148700,-0.32,1.34,IS,-0.5,-80.59999999999854,-0.7891060290245977,0.1
26,XAUUSD+,Buy,31.01.2020 23:29:40,1588.51,0.1,03.02.2020 02:38:40,1585.25,2d 3h 9m,-42.31,91.18,-9.71,-42.31,91.18,0,0,,Break G 1.5.158,XAUUSD+,sl 1585.25,-32600,116100,-0.42,0.92,IS,-9.71,-122.90999999999804,-1.2033377422756018,0.1
28,XAUUSD+,Buy,20.02.2020 13:42:40,1612.85,0.1,20.02.2020 14:29:40,1618.54,47m 0s,56.4,147.58,-0.5,56.4,147.58,0,0,,Break G 1.5.158,XAUUSD+,tp 1618.54,56900,173000,0.56,1.48,IS,-0.5,-66.5099999999984,-0.6511593299060258,0.1
30,XAUUSD+,Buy,21.02.2020 01:20:40,1621.8,0.1,21.02.2020 08:07:40,1629.25,6h 47m,74,221.58,-0.5,74,221.58,0,0,,Break G 1.5.158,XAUUSD+,tp 1629.25,74500,247500,0.73,2.21,IS,-0.5,-0.0,-0.0,0.1
32,XAUUSD+,Buy,06.03.2020 12:11:40,1688.18,0.1,06.03.2020 12:49:40,1683.15,38m 0s,-50.8,170.78,-0.5,-50.8,170.78,0,0,,Break G 1.5.158,XAUUSD+,sl 1683.15,-50300,197200,-0.5,1.71,IS,-0.5,-50.79999999999927,-0.4969877455344404,0.1
34,XAUUSD+,Buy,06.03.2020 14:53:20,1688.18,0.1,06.03.2020 15:29:40,1682.88,36m 20s,-53.5,117.28,-0.5,-53.5,117.28,0,0,,Break G 1.5.158,XAUUSD+,sl 1682.88,-53000,144200,-0.53,1.19,IS,-0.5,-104.29999999999927,-1.0203901940795772,0.1
36,XAUUSD+,Buy,06.03.2020 22:01:40,1688.18,0.1,06.03.2020 22:19:40,1678.7,18m 0s,-95.3,21.98,-0.5,-95.3,21.98,0,0,,Break G 1.5.158,XAUUSD+,sl 1678.70,-94800,49400,-0.94,0.24,IS,-0.5,-199.59999999999854,-1.9527313781235238,0.1
